WIND,RAIN,IND.2,T.MIN.G,IND.1,T.MAX,T.MIN,IND
13.47,5.1,0,13.0,0,23.6,11.2,0
19.3,12.8,0,1.1,1,26.8,-5.8,0
18.0,13.2,0,-3.3,0,5.3,12.0,4
14.51,1.3,0,7.5,0,9.2,14.2,0
13.0,6.2,0,2.8,0,13.6,-2.6,4
16.36,15.1,4,5.9,0,13.4,9.1,0
16.54,19.7,0,11.0,4,14.4,-1.9,0
13.9,3.4,0,9.6,0,10.4,8.6,0
18.08,0.0,1,-4.7,0,6.0,-0.1,1
12.92,4.4,0,-1.4,0,22.3,13.4,0
10.84,6.4,0,-9.4,4,13.3,8.1,0
21.25,0.3,0,5.6,4,3.6,8.6,0
15.76,17.4,0,-0.7,0,22.3,2.4,0
22.06,17.8,0,-8.0,0,3.5,0.0,0
12.34,13.9,0,-12.0,0,13.1,11.5,0
14.16,1.1,4,6.6,0,17.0,-0.2,0
10.01,14.6,1,-11.1,0,9.3,-1.8,4
2.48,32.0,0,-6.0,0,22.5,12.4,0
12.32,12.6,1,1.0,0,20.6,5.1,0
10.62,14.1,0,-12.0,0,15.1,-8.0,0
11.84,14.6,1,-0.5,0,16.8,-5.3,0
9.1,21.8,0,-8.0,0,22.4,0.8,0
6.07,0.4,4,1.1,0,6.6,-5.8,0
12.78,6.3,4,0.4,0,1.0,7.6,0
12.69,9.6,0,11.2,0,9.7,8.5,0
11.04,0.2,0,2.0,0,2.3,12.7,1
7.69,1.4,0,-1.1,0,17.0,10.6,0
6.42,11.7,0,8.9,0,1.5,5.2,4
12.11,6.3,0,-5.7,0,21.7,15.2,0
6.48,29.3,0,6.8,0,4.1,1.5,0
13.56,20.5,0,12.8,0,19.2,12.7,0
12.03,16.8,0,-8.9,0,7.0,8.4,0
14.24,3.8,0,8.0,2,3.5,10.3,0
8.19,10.2,0,13.1,0,18.3,-4.6,0
13.22,16.1,0,-1.0,0,2.7,-2.9,0
4.95,0.0,0,5.0,0,10.6,8.4,4
9.76,0.0,0,6.7,0,11.5,5.4,0
14.02,5.1,4,4.4,0,21.1,7.2,0
9.55,9.4,2,7.4,4,22.5,5.8,4
12.25,14.9,0,-2.2,0,3.1,12.9,4
9.79,0.8,0,11.5,0,9.5,16.4,0
8.6,16.1,0,-6.0,0,25.2,17.4,0
18.48,2.9,4,4.3,0,4.0,5.5,0
10.24,0.0,4,11.1,0,2.6,10.0,0
8.15,6.0,1,-2.5,0,15.5,9.4,0
5.56,8.0,4,-4.0,0,15.5,8.9,0
8.24,0.1,2,-2.4,0,24.5,8.5,0
6.72,5.0,0,12.1,0,20.4,-1.9,0
6.11,25.3,0,-12.3,0,7.8,11.4,0
11.94,15.3,0,-0.4,0,20.9,7.3,4
6.9,0.0,0,6.8,0,13.6,6.0,0
8.05,3.7,0,1.5,4,22.0,5.9,0
10.46,0.8,4,-3.4,0,14.7,6.7,0
9.38,12.0,0,11.2,0,7.8,1.0,0
9.55,28.3,0,0.6,0,10.7,18.0,0
9.31,2.7,0,-1.4,0,14.5,-5.5,0
3.86,18.9,0,-4.7,0,13.9,0.0,0
11.24,22.7,0,7.5,0,12.9,0.4,0
5.79,10.3,0,-4.1,0,14.1,-5.5,0
8.3,1.7,0,9.6,0,7.0,6.5,0
13.65,1.6,4,2.9,0,6.7,16.5,0
7.78,3.6,0,6.4,0,20.9,0.0,4
8.02,12.9,0,9.7,0,11.3,12.9,4
6.99,0.0,0,8.5,0,7.1,4.3,4
5.98,11.2,0,-7.4,0,14.4,8.2,0
8.28,4.0,4,1.1,0,18.0,8.4,0
9.04,0.8,0,-4.1,0,3.9,-1.3,0
5.81,0.0,0,-5.0,0,25.0,15.7,0
9.28,4.3,3,7.7,0,10.2,-5.0,4
12.38,38.0,0,12.2,0,17.0,3.3,0
10.71,0.0,0,2.4,0,14.0,-2.7,0
3.09,0.0,1,6.5,0,25.1,-2.9,0
13.85,7.4,0,2.7,0,16.3,1.8,0
10.65,1.9,0,14.7,4,0.0,1.7,0
6.68,9.0,1,13.2,0,18.0,4.0,0
5.54,19.7,4,-7.3,0,12.1,9.2,0
11.41,12.5,0,6.2,4,7.1,4.4,0
9.72,29.3,0,-6.3,0,8.9,-4.6,4
11.86,1.4,1,-2.3,0,21.8,-2.3,0
8.43,27.0,0,9.0,0,19.4,-1.2,0
5.79,12.3,0,-0.4,0,11.7,12.0,0
8.71,6.7,0,-2.8,0,3.6,7.2,0
12.21,1.2,4,5.2,0,4.4,6.4,0
11.47,7.0,0,8.6,4,10.9,8.0,4
13.19,1.5,1,-13.5,0,9.5,1.3,0
7.47,0.1,4,-9.1,0,23.0,-4.4,0
5.45,0.2,0,11.7,0,15.1,2.6,0
14.16,0.5,4,1.7,0,12.7,9.4,4
7.83,9.1,0,14.4,4,4.2,-1.1,0
5.85,3.5,4,8.1,0,16.5,15.5,0
5.33,16.6,1,-4.3,0,15.5,-2.5,0
5.72,5.1,4,1.6,0,23.3,17.8,0
8.0,15.5,0,-0.5,4,5.8,12.1,1
12.0,0.6,0,5.2,0,11.5,2.7,0
10.09,1.6,0,2.6,0,10.5,8.0,0
13.08,0.0,0,-2.7,0,5.5,12.9,4
7.79,7.7,0,0.5,0,3.6,16.0,0
6.72,6.8,0,6.8,0,21.9,3.8,0
5.42,52.2,0,7.7,0,22.3,4.9,0
6.02,1.4,0,-3.5,0,22.0,-4.6,0
11.47,5.2,0,-5.0,0,9.3,-6.0,0
6.85,2.3,4,6.7,0,3.9,12.2,0
10.78,4.1,0,-4.0,0,20.0,-3.4,0
8.35,2.4,0,-3.2,0,22.6,9.8,0
12.69,27.9,0,-7.2,0,7.4,13.3,0
6.92,8.8,1,-6.4,4,18.2,6.3,4
8.65,6.9,0,-6.4,0,18.4,14.1,0
11.04,0.3,1,2.1,2,23.3,5.1,0
7.01,19.7,0,-6.9,0,20.8,0.0,0
4.87,9.4,3,-2.8,0,8.8,0.0,0
8.71,0.0,0,1.0,0,16.4,2.8,0
1.53,11.0,0,-10.6,0,20.3,5.5,0
8.81,23.3,0,3.5,0,0.8,-1.5,4
9.85,44.4,0,-9.2,0,11.2,-7.4,1
13.4,4.4,0,3.7,0,5.9,3.3,0
13.85,0.6,3,5.1,0,2.0,4.3,0
4.42,0.0,0,8.4,0,2.0,16.0,0
6.1,11.5,0,-2.4,0,9.9,11.0,0
11.8,9.5,1,0.0,0,10.9,11.3,0
8.7,5.4,0,-2.7,0,9.5,10.4,0
4.87,18.8,4,-2.9,0,21.7,9.9,0
7.21,17.2,4,6.5,0,16.1,12.0,0
14.34,0.7,0,-0.5,0,7.1,1.4,0
7.8,16.3,4,1.9,4,24.2,9.0,0
15.38,2.0,0,1.5,4,20.5,-5.4,0
8.71,0.2,0,12.6,0,18.8,1.0,0
13.61,3.8,0,3.8,0,13.2,5.2,0
7.64,14.8,1,0.2,0,2.2,12.8,0
8.55,13.8,4,12.0,0,19.1,4.2,4
10.1,10.3,0,-3.7,4,12.4,12.4,0
11.81,17.3,0,13.2,4,9.6,6.0,0
7.84,20.0,4,9.6,0,6.8,-4.8,0
7.84,27.9,0,12.6,0,10.9,15.4,0
4.2,5.2,1,-13.4,0,15.8,8.6,0
9.24,0.2,4,8.8,0,15.8,6.4,0
7.07,12.3,0,14.2,0,23.4,-8.0,0
6.33,0.8,0,10.4,0,20.3,1.6,0
8.43,0.0,0,4.0,0,3.0,10.1,0
7.92,20.4,0,-9.2,0,16.2,0.8,0
5.09,0.4,0,10.6,0,24.7,14.5,0
9.71,5.6,0,5.0,0,14.5,10.0,0
17.15,27.8,0,9.5,0,13.3,16.9,0
11.57,10.4,0,8.4,0,5.9,13.3,0
5.36,15.5,1,-13.4,0,4.1,8.0,0
11.99,4.3,0,-6.2,0,10.0,2.2,0
14.29,7.4,4,12.6,0,19.6,4.5,0
12.83,12.8,0,-4.8,0,13.7,9.8,0
11.58,12.2,0,8.0,0,8.3,12.2,0
9.92,6.8,0,9.3,0,17.7,-3.8,1
8.08,4.4,0,13.8,0,11.2,1.3,0
7.3,6.4,0,-6.9,0,10.8,1.9,0
9.21,9.8,0,-4.8,4,25.7,4.3,0
11.06,24.5,0,13.0,0,11.4,12.5,0
9.68,2.3,0,-1.7,0,21.9,7.6,0
15.75,20.0,0,-1.1,0,6.2,12.6,0
10.4,27.8,0,9.2,0,14.0,-2.1,0
8.42,23.8,3,14.1,0,14.2,-0.3,0
10.04,40.7,0,-1.0,4,12.8,0.2,0
11.07,16.7,0,13.0,0,18.0,4.5,0
6.55,15.4,0,14.8,0,17.5,1.3,0
9.07,22.9,0,0.1,4,9.7,-1.7,4
6.54,8.2,0,-3.0,0,26.3,14.4,0
15.46,16.8,0,-4.4,0,5.5,12.4,0
9.55,0.8,0,-9.6,0,0.8,-2.2,0
2.8,0.0,0,-1.6,0,22.6,-5.2,0
14.58,0.0,4,-2.2,0,8.0,1.1,0
11.56,1.0,0,-1.2,0,11.1,10.4,4
9.6,14.6,3,10.4,0,8.5,9.2,0
11.66,13.2,0,1.0,0,6.8,10.5,0
9.76,1.4,0,8.0,0,21.3,-0.6,1
5.52,0.0,0,13.3,0,12.6,-2.9,0
13.71,7.8,0,-4.5,0,20.8,6.2,0
8.25,0.0,4,4.5,0,18.3,7.5,0
11.22,3.8,4,0.0,4,10.4,15.7,0
12.6,2.5,0,4.0,0,23.1,4.8,0
8.28,0.0,1,-5.2,0,17.1,8.2,0
5.28,21.5,0,-2.7,0,17.6,14.3,0
15.3,7.6,0,1.1,0,6.8,-5.3,0
4.24,0.0,0,-1.1,0,1.1,9.2,0
6.89,6.5,4,11.3,0,21.8,-6.7,0
5.06,5.3,0,6.7,0,18.5,12.1,4
12.17,2.9,4,-6.4,0,10.0,6.2,0
10.33,10.4,1,4.0,0,6.8,1.7,0
6.38,25.3,0,-6.6,0,3.0,-0.3,0
8.67,0.1,1,8.4,0,15.5,13.5,4
6.37,0.1,0,6.6,0,19.4,-0.6,0
8.98,0.0,0,-7.8,0,5.5,3.7,0
9.29,3.4,0,-5.4,0,19.2,9.0,0
15.01,0.0,0,0.2,0,17.4,-4.5,0
9.19,11.8,0,8.7,0,18.3,12.7,0
13.42,12.4,0,3.1,0,18.4,-3.4,4
10.98,0.4,0,-1.0,0,8.8,0.4,0
10.28,0.0,0,6.2,0,11.5,5.8,0
10.83,27.8,0,13.4,4,6.5,15.1,4
9.71,0.9,0,4.5,0,0.0,2.1,0
13.64,0.3,0,-1.4,0,9.4,17.1,0
14.0,12.8,0,-2.5,0,3.1,-6.7,0
8.12,15.9,0,9.5,0,6.7,12.6,0
7.12,14.3,0,-4.6,0,11.0,17.4,0
9.98,4.5,1,-7.4,0,18.4,8.4,0
18.93,18.7,0,2.0,0,6.4,-4.5,0
5.11,0.0,0,-10.9,0,24.7,-2.9,0
10.36,14.0,0,6.5,2,18.1,5.4,0
3.67,8.3,0,-12.2,0,18.7,-2.8,0
8.25,4.1,0,5.4,0,1.6,12.0,0
11.81,1.0,0,-10.9,0,10.3,-1.4,0
11.73,17.3,0,7.1,0,18.6,11.1,0
17.06,67.0,0,-7.0,0,3.1,4.8,0
9.54,17.0,0,14.7,0,4.3,9.8,4
3.58,21.4,0,-6.8,1,18.4,16.2,0
8.08,23.8,0,-3.2,0,17.7,4.2,0
11.65,18.3,0,7.7,0,17.2,15.8,0
6.89,7.0,0,9.8,0,19.5,0.9,0
7.36,17.4,0,-4.3,0,1.9,4.2,0
7.34,1.9,1,-2.1,0,21.4,15.6,4
12.49,36.0,0,10.6,0,7.9,-3.0,0
10.11,3.5,0,-3.0,0,21.1,15.1,0
5.3,0.0,0,12.0,0,19.0,-2.9,0
4.9,16.6,0,5.7,0,12.6,0.5,0
7.59,0.0,0,12.4,0,18.2,-9.0,0
10.24,36.4,0,14.3,0,7.9,2.5,0
11.68,7.2,0,11.8,0,18.7,-7.2,0
9.52,8.0,0,15.8,0,2.1,1.2,0
8.66,13.0,0,5.6,1,19.0,9.5,0
11.73,11.9,1,4.8,0,10.4,6.5,0
7.44,3.6,0,-4.4,0,19.6,-2.9,0
10.44,17.0,0,4.6,0,21.4,5.1,0
10.86,11.1,0,-1.9,0,-0.1,3.2,0
12.78,13.9,0,8.6,0,19.6,6.3,0
4.31,10.2,0,13.0,0,18.5,-0.7,0
7.85,6.4,0,2.1,0,20.0,14.8,4
12.45,1.6,0,-1.3,0,12.4,6.5,0
8.29,0.0,0,4.9,0,21.8,5.6,4
3.76,9.8,1,0.1,0,17.7,4.4,0
7.5,4.0,4,2.8,0,9.2,12.3,0
11.97,4.5,0,7.5,4,11.8,14.5,0
9.43,5.4,0,4.3,0,10.4,6.6,0
4.04,11.6,0,6.8,0,15.1,6.0,0
8.06,12.9,1,-0.5,4,20.3,12.2,0
7.96,4.6,0,10.6,0,12.0,16.9,0
3.49,13.1,0,9.3,0,15.8,-6.8,0
5.5,9.9,0,14.5,0,20.2,8.8,0
6.65,10.3,0,-1.0,0,15.5,9.5,0
7.48,13.8,0,8.4,0,9.3,13.9,0
7.37,14.2,1,-10.0,0,7.6,-3.8,0
7.42,2.2,0,-6.0,0,18.0,1.5,0
8.81,21.8,0,-10.6,0,8.9,13.9,0
8.02,3.7,4,1.3,0,23.0,11.5,0
6.0,24.2,0,-9.0,0,10.8,10.5,0
10.41,2.8,4,7.4,0,9.6,-0.4,0
7.9,6.5,0,3.7,0,19.2,5.4,0
5.56,9.8,0,12.5,0,15.2,10.6,1
10.18,0.5,0,-1.9,0,6.8,-1.1,0
15.62,7.0,0,6.8,0,11.7,3.4,0
11.51,5.5,0,-1.2,0,8.9,8.4,0
6.6,24.3,0,-2.0,0,9.2,10.4,0
6.86,0.0,4,13.8,0,23.3,17.2,0
7.66,2.0,0,14.6,0,17.7,10.3,4
12.15,2.5,0,-6.6,0,5.6,17.2,0
9.4,23.8,0,-3.3,0,11.5,10.7,4
14.24,19.1,0,9.4,0,10.0,-3.6,0
8.06,7.5,0,-10.3,4,13.4,6.4,0
7.66,11.9,0,12.2,0,18.0,11.5,0
11.31,0.8,0,5.5,0,21.9,13.2,0
7.15,7.5,0,8.3,0,10.9,-0.8,0
11.27,13.6,0,4.6,0,14.0,14.2,4
13.2,0.6,1,-12.1,0,12.6,14.2,0
15.91,0.0,0,14.1,0,15.1,-5.3,0
8.88,13.0,0,7.3,0,15.6,10.9,0
8.88,22.7,0,-6.0,0,8.5,5.5,0
5.33,14.3,0,5.5,0,19.9,13.8,0
9.98,11.0,0,-7.0,0,17.8,16.3,0
4.92,24.5,0,-9.8,0,18.0,11.8,0
6.02,1.4,4,-4.5,0,5.8,-3.4,0
6.65,7.8,0,-0.2,4,17.0,6.2,0
8.58,16.2,0,1.9,0,15.6,12.7,0
11.03,7.8,0,1.7,0,5.4,5.4,0
8.69,3.3,4,-12.1,0,19.8,13.9,4
6.65,0.9,0,10.4,0,6.6,5.0,0
11.89,16.8,0,4.1,0,16.0,5.0,0
13.02,28.2,1,5.0,0,7.6,8.2,0
6.77,6.7,0,-10.0,0,13.5,1.1,0
9.25,25.1,0,2.9,0,18.4,5.8,0
5.83,0.0,0,14.7,0,15.2,17.9,0
5.15,0.0,0,15.0,0,19.3,12.9,0
15.91,11.2,0,6.4,0,4.5,3.7,0
11.32,15.4,1,-4.5,0,12.2,2.2,0
10.04,8.1,0,-3.8,0,4.1,7.8,0
5.81,21.0,0,-8.8,0,12.9,14.5,0
5.85,2.9,0,0.0,0,5.3,8.8,0
8.38,6.1,0,10.9,0,22.0,11.6,4
6.32,1.4,0,-7.9,0,2.2,12.0,0
14.13,2.2,1,2.6,0,3.2,13.1,1
9.59,0.0,0,2.1,4,24.4,7.2,0
7.82,0.0,0,-8.3,0,14.4,-0.9,0
11.46,4.2,0,11.6,0,3.0,2.0,0
9.34,6.5,0,7.2,0,19.0,6.1,0
9.9,10.1,0,4.3,0,14.0,13.6,0
8.52,0.5,0,-2.3,0,18.7,-1.3,0
6.69,20.5,0,15.0,0,8.1,8.8,0
7.2,28.0,0,0.9,0,20.1,16.7,0
7.49,30.0,0,12.1,0,6.6,12.5,0
7.99,14.3,3,2.7,0,17.6,16.4,0
8.68,0.0,0,-5.9,0,15.3,-5.0,0
3.32,3.4,0,12.7,0,10.7,9.8,0
8.9,12.8,0,7.2,2,20.7,9.8,0
9.44,0.2,0,15.2,0,12.6,-5.5,0
11.27,0.0,4,1.2,0,16.0,15.2,0
8.5,13.3,0,2.4,0,25.8,11.1,0
11.82,1.5,0,9.6,0,14.4,13.2,0
13.9,1.5,0,-0.3,0,3.5,9.5,0
11.42,0.0,2,6.1,0,24.6,11.1,0
5.53,2.9,0,11.8,0,18.6,7.0,0
14.97,12.5,0,8.4,0,1.7,9.9,0
12.06,25.6,0,2.3,0,13.1,13.1,0
3.24,2.5,0,5.9,0,20.4,8.0,0
9.12,4.0,0,7.5,0,6.7,-2.5,0
7.12,1.7,4,15.4,0,24.7,3.6,0
11.66,22.5,0,1.4,0,26.8,8.6,0
10.31,29.3,0,5.5,0,16.2,14.1,0
9.24,16.1,0,10.4,0,10.2,-2.4,0
7.17,16.5,0,-5.1,0,11.3,2.5,4
4.63,0.0,0,8.5,4,19.8,9.3,0
4.69,12.5,3,9.5,0,17.0,9.7,0
1.3,6.4,0,-3.0,0,7.7,12.7,0
4.38,11.1,0,6.8,0,16.2,-11.0,0
15.77,19.0,4,1.3,0,20.6,8.0,0
16.59,0.0,0,-4.5,0,3.8,-1.2,0
13.66,4.7,0,-10.5,0,7.9,5.8,0
11.55,0.8,1,2.0,0,16.9,-0.9,0
5.49,2.1,0,-8.5,4,4.9,-2.2,0
5.6,16.5,1,3.1,0,18.3,12.5,0
10.32,2.5,0,4.9,0,5.3,7.9,0
8.77,26.7,0,7.3,0,20.5,10.6,0
9.28,16.6,0,-6.1,0,5.3,-2.2,0
6.21,3.5,0,7.5,0,3.8,-7.0,0
6.48,1.8,1,2.5,0,19.3,-7.0,0
4.79,2.5,0,-4.1,0,16.7,0.9,0
14.13,0.0,4,5.8,0,14.0,-2.1,0
7.39,12.5,0,-10.8,0,13.0,-7.0,0
13.33,0.3,0,-0.1,0,8.6,0.6,0
10.82,6.8,3,12.5,0,6.6,3.3,0
4.66,12.4,0,-10.2,0,20.7,2.7,0
6.57,0.4,0,-11.4,0,16.6,-0.8,0
10.4,16.8,4,7.8,0,3.3,11.9,0
9.53,6.3,0,15.1,0,11.6,-3.4,0
10.59,32.4,0,7.2,0,23.1,-4.6,0
6.2,15.7,0,-7.2,0,13.8,7.3,0
9.73,28.0,0,12.0,0,7.0,8.3,0
9.96,3.5,0,5.8,0,12.4,9.2,0
7.49,15.6,0,0.4,0,21.6,-0.9,0
13.26,2.3,0,1.0,0,9.3,13.0,0
12.36,40.7,0,8.9,0,12.3,1.2,0
14.65,0.8,1,1.1,0,18.1,1.2,0
8.21,11.8,1,0.6,0,10.8,2.0,0
9.36,1.1,0,1.1,0,6.2,5.6,0
9.59,6.9,0,2.4,0,13.0,13.6,0
12.07,15.3,0,3.2,0,13.7,11.2,0
8.65,6.4,0,-13.5,0,17.2,-3.0,0
8.8,9.8,0,-2.6,4,3.2,6.9,0
5.68,14.3,4,-9.5,0,11.5,15.5,0
3.65,0.8,0,7.2,0,21.5,2.0,0
2.98,23.3,4,12.2,0,17.5,9.9,0
10.44,17.5,0,-6.7,0,11.1,5.1,0
2.37,0.0,0,6.6,0,6.7,2.8,0
0.61,12.3,0,8.0,4,24.7,1.4,4
9.45,23.6,0,-6.5,0,6.8,8.8,0
5.48,2.6,0,5.6,0,25.8,10.4,0
8.16,13.7,0,-2.9,0,9.2,11.2,0
4.28,18.8,0,5.2,0,19.0,5.0,0
5.22,0.0,1,-0.4,0,18.5,8.8,0
9.77,27.0,0,14.0,0,1.6,11.7,0
6.26,10.4,0,1.8,0,25.2,15.5,0
0.42,44.9,0,-8.8,0,19.2,-3.4,0
4.61,28.0,0,7.5,0,4.2,6.3,0
4.64,28.0,0,9.4,0,21.6,7.1,0
4.46,0.0,0,-4.8,0,10.4,-1.9,0
5.91,11.0,1,-7.2,0,9.8,7.9,0
4.63,4.8,0,3.8,4,15.8,9.8,0
2.51,0.0,0,5.0,0,26.8,7.4,0
5.08,3.0,0,11.6,0,15.4,5.3,0
11.41,2.2,4,5.5,4,14.0,14.4,0
4.71,25.6,0,9.0,0,25.0,13.2,4
5.97,0.5,0,9.7,0,24.2,12.5,1
12.24,3.7,2,4.6,0,2.6,7.4,0
5.24,0.5,0,-5.0,0,5.0,-1.3,0
1.16,21.0,0,-10.2,0,16.0,17.9,0
5.5,0.1,0,-0.3,0,14.5,-0.3,0
3.88,2.1,0,4.9,0,9.7,9.5,0
5.38,3.6,0,-0.9,2,11.8,4.5,0
6.22,7.2,0,2.6,0,13.4,14.3,0
6.1,15.0,0,1.3,0,15.0,2.9,4
6.49,1.2,0,8.9,0,9.5,-3.1,0
6.8,23.1,4,1.3,0,19.0,11.8,0
5.67,13.9,0,1.6,0,18.2,-6.6,0
3.05,0.1,0,2.9,0,11.8,12.4,0
0.7,20.3,1,4.9,0,4.9,-11.5,0
4.35,1.9,0,-3.2,0,9.5,10.9,0
3.82,10.9,0,4.1,0,16.4,-3.1,4
3.63,2.9,0,8.0,0,3.4,6.5,0
2.92,7.4,0,4.0,0,2.4,9.4,0
6.93,2.3,0,10.0,0,14.9,2.0,0
0.58,0.0,0,-9.3,0,4.8,12.5,0
6.83,19.7,0,7.7,0,2.4,11.6,0
5.65,0.0,0,4.2,0,11.9,6.6,0
2.82,0.0,0,15.6,0,5.6,10.0,0
0.68,7.6,0,-10.8,0,6.8,10.1,0
4.26,0.0,0,10.6,0,12.8,10.3,0
9.79,10.5,0,6.8,0,11.1,2.6,0
3.97,6.8,4,11.7,0,8.0,-5.4,0
3.3,6.8,0,6.6,0,18.3,3.4,0
4.09,10.3,0,4.6,0,9.6,11.6,0
5.03,0.0,0,1.5,0,21.1,9.2,0
4.5,22.5,4,2.6,0,1.6,-8.0,0
4.39,0.7,0,-10.9,0,12.2,0.7,0
6.02,9.6,0,-6.1,0,6.3,6.8,0
3.25,16.3,0,3.9,0,14.1,-2.5,0
4.77,1.6,0,-1.9,0,4.2,2.2,0
2.8,0.0,0,-1.0,0,18.0,-7.4,0
5.28,4.8,0,-7.1,0,11.6,17.9,0
8.98,1.2,0,0.8,0,8.3,10.5,0
